tipo,archivo,carpeta,tamano_kb,cot_extraido,motivo,sugerencia
APU,2020-736B.xlsx,APU CAMILO,2168,2020-736B,COT es de 2020 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
APU,2026-26...xlsx,APU CAMILO,2740,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,2025-1311A.xlsx,APU JUAN PABLO,645,2025-1311A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
APU,2026-318.xlsx,APU JUAN PABLO,541,2026-318,COT 2026-318 no existe. Base 2026-318 tiene: 2026-318A,Revisar si el COT correcto es uno de: 2026-318A
APU,Actualizacion Durata.xlsx,OTROS,18,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,ANALISIS VENTAS 10 AÑOS.xlsx,OTROS,3480,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,CATALOGO MAESTRO.xlsx,OTROS,13,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,Formato.xlsm,OTROS,791,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,2025-1031A.xlsx,APU OMAR 2026,95,2025-1031A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
APU,2025-124.xlsx,APU OMAR 2026,5854,2025-124,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
APU,2025-1246A.xlsx,APU OMAR 2026,428,2025-1246A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
APU,2025-1283A.xlsx,APU OMAR 2026,485,2025-1283A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
APU,2025-1288B.xlsx,APU OMAR 2026,1481,2025-1288B,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
APU,2025-1337A.xlsx,APU OMAR 2026,338,2025-1337A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
APU,2025-965A.xlsx,APU OMAR 2026,57,2025-965A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
APU,2026-318.xlsx,APU SEBASTIAN,541,2026-318,COT 2026-318 no existe. Base 2026-318 tiene: 2026-318A,Revisar si el COT correcto es uno de: 2026-318A
APU,2026-472.xlsx,APU SEBASTIAN,2233,2026-472,COT 2026-472 no existe en BD (ni con otras letras),Agregar cotización al CRM o verificar numeración
APU,bimbau_lsuministroeinstalacion_laminados__22122025-131232.xlsx,2026-120,66,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
